Recorded Date,"Please respond to the following statement:
Determining whether a review was positive or negative was difficult.",Why?,Please briefly describe your process for determining whether a review was positive or negative.,What parts of the review did you focus on in determining whether a review was positive or negative?,"What, if anything, could have been more clear about the instructions you were given for labeling movie reviews as positive or negative?","Please respond to the following statement:
 Selecting the words or phrases I considered important was difficult.",Why?,Please briefly describe your process for selecting the words or phrases you considered important.,What characteristics of a word or phrase made you select a particular word or phrase as important?,"Think about a case where you considered selecting a particular word or phrase as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words/phrases as important.","What, if anything, could have been more clear about the instructions you were given for selecting words or phrases as important?",Please briefly describe the order in which you selected the words or phrases you considered important.,"Please respond to the following statement:When selecting words or phrases that I considered important, I selected only words or phrases that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Please specify your ethnicity (select all that apply). - Selected Choice - Asian,Please specify your ethnicity (select all that apply). - Selected Choice - Black or African American,Please specify your ethnicity (select all that apply). - Selected Choice - Hispanic or Latine,Please specify your ethnicity (select all that apply). - Selected Choice - Native American or Alaskan Native,Please specify your ethnicity (select all that apply). - Selected Choice - Native Hawaiian or Other Pacific Islander,Please specify your ethnicity (select all that apply). - Selected Choice - White or Caucasian,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer to self-describe,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer not to say,Please specify your ethnicity (select all that apply). - Prefer to self-describe - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Prefer to self-describe - Text,"Do you, or have you, held a degree or job related to computer science, IT, or similar?",Do you consider yourself to have expertise in machine learning?,Are you a native speaker of the English language?,(Optional) Is there anything else you'd like to tell us before submitting the survey?,userId,Q39 - I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),What is the correct order of tasks you will follow?,,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Clicking on individual words.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Dragging over words/phrases.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Highlighting words with arrow keys.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Tapping the words if your computer is touchscreen.,instructions
2021-09-01 14:49:26,Disagree,"The tone of the review and which type of words/phrases are used, clearly gave hints as to whether the review is positive or negative.","I looked for distinct phrases, i.e the movie is good, the movie is terrible. If these phrases aren't present then I would have to closely read the review before deciding. ",The very beginning or the very end of the review.,Nothing comes to mind.,Somewhat disagree,Selecting the words or phrases is mostly easy to the most part as they can often be seen as being positive or negative.,My process entails selecting phrases that are very apparent as being negative or positive and that aren't neutral.,How universally accepted that the phrases would be seen as positive or negative by others.,The phrases are either too complex or not easily interpreted as being negative or positive.,Nothing comes to mind.,I worked my way through the review without any other consideration.,Agree,Because it would be easy for others to come to the same conclusion otherwise.,The interface is fine as is.,25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,No,Yes,,35939,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,13
2021-09-01 14:49:32,Strongly disagree,Most of the reviews very plainly stated whether they liked the movie or not.,I mostly determined if the review was positive or negative by the tone of the review.,I focused on the parts that were more about describing the movie overall rather than specific parts like the acting or directing.,I don't think that the instructions could have been more clear.,Strongly disagree,Selecting the words was easy.,"I thought that phrases like ""I thought this was great"" were more important than just one word like ""great"".","If words like great or terrible were used to describe the movie, I selected them.","I would sometimes think that parts where the reviewer is describing an actors performance could be highlighted, but thought it was too specific for a summary of the overall review.",I don't think the instructions could have been more clear.,I did not have a particular order besides going from the beginning of the review to the end.,Neither agree nor disagree,"I don't agree or disagree since I did not specifically only choose words because they were in other reviews, but I did highlight similar words because I thought they perfectly summarized the review.",I can't think of anything that could be improved.,25 - 34,Man,,,,,,,White or Caucasian,,,,Associate's degree,,Yes,I don’t know,Yes,,41165,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,13
2021-09-01 14:51:01,Disagree,Most included words and phrases easily identifiable as negative. ,I looked for negative or positive adjectives.,Adjectives,It was clear enough.,Strongly disagree,They were mostly clearly positive or negative.,I looked for adjectives that helped me see whether the writer had a positive or negative experience.,Their description.,"Sometimes a word would appear to be positive, but would actually be used in a negative way. I can't think of a specific instance. But I know I moved over a couple of key words that ended up being attached to an overall negative phrase.",Nothing.,I started with the first sentence and went from there to the end.,Strongly disagree,I read each review as an individual piece.,Nothing.,45 - 54,Woman,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,I enjoyed the couple of reviews that weren't so clear. Made you have to think. :),29826,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,,Dragging over words/phrases.,,,13
2021-09-01 14:52:06,Disagree,"because all it took was reading, and didnt take that much effort.",read everything once then go over it twice and analyze,i focused on words that denote something bad or something of that nature ,just reducing the amount of words used when stating them,Somewhat disagree,becuase all it took was putting a filter on to pick out bad words after you had read the review,looking at everything in a different way to pick out bad words or something that pointed towards what they were reviewing was bad.,Upercase words and big words were usually important words in the reviews,I had to look at the context of where the word was being used in or order to tell whether or not the word was positive or negative,nothing ,"i scrolled through the review one time after reading it to see if any words were uppercase or stood out, then read that sentence and determined whether or not the word was being used in a positive or negative way.",Disagree,becausew words can be used in different ways and different contexts so the same words from different articles would not always mean the same thing. ,had no techinal issues but simplifying the instructions might be the only thing.,18 - 24,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,74133,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,14
2021-09-01 14:52:21,Disagree,I read many reviews in my daily life so im used to reading reviews.,If the person literally states that they hated the movie then that's a bad review.,The start and the end of the reviews seemed to be the most helpful parts of the reviews.,The instructions were very clear.,Disagree,Having read many reviews i know which words stick out.,I felt the most important words were the words that described the movie to be good or bad.,Words that describe poor movies .,I cant remember any such case.,The questions at the end .,I read it from start to finish selecting words as i went.,Neither agree nor disagree,I made up my own mind. I didn't just try to select words that i had seen in other reviews only.,No errors or issues.,35 - 44,Man,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,Thanks for the opportunity.,52360,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,11
2021-09-01 14:53:02,Somewhat agree,A couple of them didn't use any overly positive or negative language,Trying to figure out how the reviewer actually thought about it,Overall tone of the review as well as any positive or negative language,clicking on the first word to drag and not just before it like you would when normally highlighting something on the computer.,Somewhat agree,Intuitively on the computer to highlight words you would click just before the word you would like to start highlighting. This habit took awhile to break.,Anything overall negative/positive.,The tone and or definitions of those words,It was more sarcastic that anything,Intuitively on the computer to highlight words you would click just before the word you would like to start highlighting. This habit took awhile to break.,Starting from the top I was asked to select the words/phrases based on my selection of thinking it was a positive or negative review. Then selecting the opposite of my initial thoughts on the review.,Somewhat disagree,A lot of it was sarcasm or personal beliefs that weren't related to reviewing the movie.,n/a,25 - 34,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,Yes,No,Yes,,61957,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,15
2021-09-01 14:53:20,Disagree,Most of the time is was pretty clear as the author used bad terminology to describe aspects of the film.,I read through the whole review to understand what the author was telling me about the film and looked for clues as to their own personal opinion.,The opinion of the author as opposed to factual content.,The instructions were very clear.,Agree,Sometimes it was a whole sentence or more that was needed to add the context.,I tried to focus on aspects of the authors opinion that related to various aspects of the film.,"I looked for something that stand alone, would summarise whether the film was good or bad.","I think there were a couple of occasions where there was too much text to highlight because the sentence on its own, did not give the overall flavour of what was being said. It needed the otehr sentences around it to add the context and make sense.",The instructions were very clear.,"I read through the text a second time, highlighting them as I read them.",Agree,Because they were stand alone phrases that told you whether the review was positive or negative.,No issues or improvements to report.,35 - 44,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,84264,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,13
2021-09-01 14:53:35,Somewhat disagree,Most of the reviews were pretty clear.,Briefly read through the reviews and took on board the language and tone,What words were used and how the movie was described,NA,Neither agree nor disagree,"On some reviews it was very easy, others spent most of the review going over the plot not their opinions ",I chose the phrases that stood out ,strongly emotional words or phrases,"One of them said Boycott this movie at the end - that's not really a review, sounds like a personal attack",NA,I read through the paragraphs a second time and highlighted words in order,Somewhat disagree,"Its about context, the same phrase could be used differently and have another meaning",No idea,35 - 44,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,No,48015,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,13
2021-09-01 14:54:14,Somewhat agree,phrases and words  some are  bit too jagons, words phrases  the associated with positive and negative help,I focus on  phrases wordings in context to help dertime.  Easy  impression is the start of review and ending of reviews before read rest.,none it good clear already,Agree,some had lots of them! some words need to be in context to know it bad or not.,i use both phrases and words,the characteristic of phrases in within context of sentence  the words just plain negtive on it own like not no worse  bad etc,mainly cos some review had too many! and many as it some expressions dont have wordings that stand on it own  but need help  within context of other words in order to be undertsood its intention are.,none,"words that stand on it own  simple  worse  not no terrible. brillant amazing etc 
and
phrase with support of words in context to make one understand it saying",Somewhat disagree,"I dont follow it like that but yes with some phrases that well known  and  def for plain words  that no need support are repenting ones, but i dont follow it due to individual free expressions however she.he see fit  as phrases within context are free to interpretations/",none I enjoyed it,35 - 44,Woman,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,14574,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,,Dragging over words/phrases.,Highlighting words with arrow keys.,,11
2021-09-01 14:55:26,Strongly disagree,"There was only one that was clearly balanced, the rest seemed very bias in one way of the other using positive or negative adjectives. ","I looked to see what words they were using, and how the flow and pace of their paragraph landed, and whether there was any rage in their writing. ","When reading, I looked for words that are normally associated with positive and negative emotions.","Nothing, I thought it was pretty clear.",Strongly disagree,It was pretty easy to find the positive and negative words when reading through the passage.,Looked for words that had negative or positive connotations. ,The way they styled the sentence and how the passion came through in their writing.,If there was something that was positive around the actor within the review but it was still generally negative.,"Nothing, I thought it was pretty simple to pick up on.",I went from the beginning of the passage and moved through the writing whenever there were words or a phrase that matched the feel of the review.,Agree,To make it consistent and fair when I was judging everything.,If the paragraphs has spaces between them. The long ones were difficult to read.,25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,No,Yes,,13904,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,13
2021-09-01 14:56:06,Disagree,the reviews were mostly clear as to what the writer was trying to convey. ,I looked for positive descriptors and negative descriptors and tried to figure out if the writer enjoyed the movie or not.,stand out words,Nothing,Somewhat agree,there were times when the review was all negative so finding a positive was challenging.,I chose words and phrases that could be taken as positive and negative,if they stood out and conveyed a positive or negative view of the movie,There were times when I was unsure if it really could be important to the review,Nothing,I would read through the review and select words that stood out to me,Agree,Because they were positive or negative descriptive words. Even if they were taken out of context they still mean the same thing.,Nothing,25 - 34,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,34831,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,14
2021-09-01 14:56:12,Strongly disagree,I could easily understand the emotions within.,Based on positive and negative words and expressions.,"The overall emotion, both implicitly and explicitly.",Nothing at all could have been more clear.,Strongly disagree,"I totally understood the task, and that made it easy for me.","Ones that stood out and would really, really grab the attention of the readers.",Anything that could even potentially grab attention.,There were no instances of this for me.,Nothing at all could have been more clear.,I went in the order of when I first saw them. There was no special order that I particularly used.,Strongly agree,Those are the most important ones. They really capture the overall essence of the reviews.,Nothing could have been improved.,25 - 34,Man,,,,Hispanic or Latine,,,,,,,High School or equivalent,,No,No,Yes,,59942,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,12
2021-09-01 14:56:37,Strongly disagree,With the exception of only one of the reviews (the longer one about the four hour film which was about other films) it was very evident from the words used if it was positive or negative.,"I read through the whole review carefully once, then I went back through to select the words and phrases that made that clear.","those which reflected on the writer's opinion, rather than just describing the content of the film.",nothing.,Strongly disagree,They was little ambiguity in the words used.,"I tried to find them in context, rather than just selecting single words.",Whether they were clearly positive or negative.,I think I avoided selecting those which were just describing the content of the film.,Nothing,I just read through once then selected the words in the order in which they were delivered.,Agree,I did recheck the instructions on this a couple of times and made sure I didn't include any words that would not be positive or negative out of the context in which they were written.,nothing,45 - 54,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,28179,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,12
2021-09-01 14:57:48,Strongly disagree,I think it was very easy to tell what the writer through of the film in most cases.,I just read it and could tell if they liked it or not pretty easily based on what they said. ,The overall sentiment as to how good the movie was or how much they enjoyed it. ,I thought the instructions were perfectly clear. ,Disagree,"I thought it was pretty easy to select words for the most part, some were a little tough, but overall it was pretty easy. ","I just looked for words that fit what I thought they felt about the movie,a nd when I wanted the opposite I just tried to find words that could be taken wrong. ",If the word was positive or negative. ,I thought about it and just decided the words didn't really matter. ,I thought the instructions were very clear. ,I selected the ones that fit the setiment first and then thought about the ones that could possibly go against the sentiment. ,Disagree,"I didn't think of other reviews, I just looked at the context of the review I was judging at the tim. ",I thought the user interfaces worked great and were fine. ,45 - 54,Man,,,,,,,White or Caucasian,,,,Associate's degree,,No,No,Yes,,56588,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,15
2021-09-01 14:58:10,Disagree,For the most part the reviews were short and written to clearly define a positive or negative tone,"I determined the tone of the review, usually helped by the wmotion of the words selected",The start and end was usually the best place to see how they felt,no issues,Somewhat disagree,Once the tone was clear it was fairly easy to pick the words which conveyed this in the intial read through,I read it and remembered what made me chose and then highlighted these when required,the tone and the emotion. The WAY IT WAS WRITTEN as well some times,Mostly it was because the words were repeated,no issues,I did it as I re-read the review,Somewhat disagree,I treated each review seperately,no issues,45 - 54,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,Yes,No,Yes,"nothing thank you.

Best wishes for your study",48004,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,13
2021-09-01 14:59:02,Somewhat agree,Some were ambiguous.,Looking for key words and phrases indicating like or dislike of the movie.,The parts about the movie itself overall rather than about the characters or plot descriptions.,It was clear.,Disagree,I know which phrases and words are positive or negative.,I chose key words or phrases indicating like or dislike.,Negative or positive words.,"Sometimes a word desribed a character in the movie as being negative, but that wasn't about the movie itself. I had to determine what the reviewer was referring to.",It was clear.,In the order that they were presented.,Agree,I had a uniform view of the words.,It was ok.,45 - 54,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,No,Yes,,73312,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,11
2021-09-01 14:59:21,Disagree,For the most part it was pretty easy to determine if it was positive or negative by evaluating the ideas they were presenting in the review and the words they used to describe facets of the film. ,I would read the review and ponder the points they presented and the descriptions they wrote. I would also look for key words that displayed how the viewer felt. ,A good indicator of how the viewer felt was the beginning and ending of the review. These sentences usually surmised how they felt. ,Everything was clear. ,Somewhat disagree,The reviews typically had enough words to pick out to back up if it was positive or negative. However some reviews that read more like a summary were more difficult to determine. ,Words that hinted at the feelings of the viewer were the most important to identify. ,I would select a particular word or phrase if it described the viewer's feelings on a matter brought up in the review. ,I didn't select words that were just describing things in the movie or show itself. I focused on those that conveyed feelings or opinions from the viewer. ,Everything was clear. ,I would just select words as I re-read the review from start to finish that I felt stood out and helped prove if a review was positive or negative. ,Somewhat agree,"There were some consistent themes between word choices amongst the review, such as words relating to how interesting or boring it was, if it was good or if it was bad, etc. ",I did not encounter any issues. I felt the UI worked well for the task. ,25 - 34,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,Thank you! ,76821,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,11
2021-09-01 15:00:37,Disagree,The reviews clearly gave a comprehensive description of if they liked the films or not,Positive or negative words used throughout the reviews,How they described the review in the first line of the review and there description throughout.,No all was very clear.,Disagree,Was easy to understand and pick out negative or positive words,The main words that stood out to me were picked. I focused on what I would listen to when reading a review.,How passionate or meaningful they were.,I chose another phrase that was similar but would sum up the review better,no all was very clear,"if they were in capitals or had a lot of exclamation marks and if they stood out more for being either sarcastic, cheeky or if I could see they loved the film.",Disagree,All reviews are different and some people could be sarcastic when saying a phrase that was negative but meant it in a positive way.,nothing all was clear.,35 - 44,Woman,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,78654,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,12
2021-09-01 15:01:17,Strongly disagree,was mostly obvious,by the words,mostly beginning or end,not6hing,Neither agree nor disagree,sometimes was sometimes wasnt,whether they were positive or negative,wether they were positive or negative,wasnt sure if it fitted,nothing,as i went through it,Neither agree nor disagree,sometimes did sometimes didnt,nothing,45 - 54,Man,,,,,,,,Prefer to self-describe,,scottish,Bachelor's degree,,No,Yes,Yes,no,10335,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,15
2021-09-01 15:02:00,Somewhat agree,"Some were really clear but others were ambiguous and I really had to think, sometimes not being completely sure","I looked for keywords, descriptions and reviewers opinions. I reread each review more than once to check I had the correct understanding.",The beginning and the end gave me clues as to the first and last impressions the reviewer wanted to share.,"The instructions seemed clear, although I was surprised how tricky it was sometimes to differentiate. ",Agree,I sometimes muddled up descriptions with opinion,I highlighted negative or positive words and phrases that reflected the reviewers stance,Whether it could apply to the review even without knowing the plot eg bad acting,"I nearly highlighted phrases that described the plot rather than gave opinion, but decided these didn't really meet the brief of the task",I think they were okay,"I read the review, then went back to select the phrases in order, then reread a final time to make sure I was happy",Somewhat agree,"I tried to do this, but sometimes didn't manage it. When this happened I marked it as not being happy with my choices","All good, thanks",45 - 54,Woman,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,"A nice challenge, thought it would be easy to decide but it was interesting and challenging.",55141,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Select words or phrases that suggest that the movie review is either positive or negative.
 Classify a movie review as positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,11
2021-09-01 15:02:15,Strongly disagree,it was clear cut,is it worth my time and money,dont waste time,nothing.great survey,Somewhat agree,it wasnt easy with the arrow key,was it worth my time ,relaxing and action,because of the arroy key was difficult,none,is is worth my time,Agree,not to waste time,arroy key selection was a nightmare,35 - 44,Man,,Asian,,,,,,,,,Master's degree,,No,No,Yes,,16681,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,15
2021-09-01 15:02:26,Disagree,"Usually the writer of each review is enthusiastic about whether they like/dislike the movie, so it was fairly easy to determine their overall feeling in regards to it. ",I would note which parts during the review they seemed to get the most passionate in their opinions. ,When they mentioned how they personally felt while watching the movie - the most emotional parts of the review.,All of the instructions were clear.,Somewhat disagree,"A lot of reviews seemed passionate, making their personal opinions fairly obvious.","I would look for how the writer of the review felt during the movie, and avoid pieces of the review that simply gave summaries about the movie.",The words need to be descriptive and trigger an emotion.,"I did not select those words because I'd realize they pertain to movie plot, and not the writer's actual feelings.",The instructions were clear.,The order would be determined as I read through the review.,Somewhat disagree,The context of the word could possibly be different between reviews.,"The UI was very clean. The text of the reviews themselves were a bit big to read comfortably for me personally, but I understand this is helpful when highlighting the words.",25 - 34,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,Yes,No,Yes,,71314,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,11
2021-09-01 15:02:27,Disagree,"Most were fairly obvious, except for 2",Use of language gives it away. And punctuation also helps,The first line normally gave it away,No need to make it clearer,Somewhat agree,It depends on how some of the words were phrased,Depended on if they were describing the movie directly,Partly on how passionate and emotive the word was,The words referred to other movies and not this exact one,Nothing,Went from top to bottom,Strongly disagree,I only chose them based on the current context,Nothing,35 - 44,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,16905,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,12
2021-09-01 15:02:42,Strongly disagree,I think it is very clear what type of review it is with the words that are used,I looked at the words used and the overall content,The opening lines and the end i found were the best indicators,nothing that i can think off,Disagree,I think it was clear early on which words were driving my decisions,I wanted the words that were quite clearly driving the direction of the review,the tone and context of the word,I didn't select a few words due to the overall context of the sentence,nothing to add,I simply selected them as i read through the text,Disagree,i didn't think this would help the overall aim of the survey of producing an algorithm ,i think when you tried to select a whole sentence the software wasn't sensitive enough,35 - 44,Man,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,96235,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,16
2021-09-01 15:02:43,Disagree,Most of the reviews had quite strong opinions so it was fairly easy to see which way the reviewer was leaning,"If they recommended it, if they gave positive reports of the cast, story, action etc","The language used - terrible, loved it, recommend, hated it, avoid - usually helped make the decision quite easy",Nothing,Somewhat agree,I wasn't sure sometimes if a whole sentence was too much and if you were looking for shorter phrases and words.,"I tried to think of them separately - outside of the review - and if they could be easily applied to other films as well, and if they stood out as showing strong opinions","Strong words such as terrible, miscast, avoid, loved, recommend, stood out - ones that conveyed emotion","Sometimes I felt maybe a sentence I wanted to select was too long, or perhaps it wouldn't show the exact same emotion if removed from the particular review and used elsewhere - could be ambiguous. ",Not sure,I read through the review and marked as I went along,Somewhat agree,That's what I was asked to do,Nothing,35 - 44,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,89379,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,12
2021-09-01 15:04:06,Strongly disagree,"Some complex sentences, and lots of  ""supporting evidence"", but they all have a simple sentence too. This is one of the worst, boycott this etc
The only one which didn't had an I couln't tell you about the film but I love this actress.",Filtering out the reviewers opinion from either a description or a recommendation.,"The first sentence and the last sentence usually, but with maybe an example of another film first.",Nothing,Disagree,It might have been better to select several parts of a sentence as one unit and maybe several parts of another as two units bu being able to group certain word/phrase selections together - i.e missing out a middle phrase.,Actual expressed opinions or recomendations; adjectival phrases.,They are part of an opinion; an uncomplementary comparison; or a recomendation to view or avoid,"I didn't do this. Maybe I selected too much, but I went for any opinion, or viewing recommendation. I'm not sure a points system would work here; you need to understand the english . .",Nothing.,"Not sure what you mean by this question. I started at the beginning - looking at the first few phrases or sentences, worked my way through the middle and paid particular attention to the end - selecting along the line to build a phrase which  didn't include anything other than the basic statement.",Neither agree nor disagree,"The format of reviews is often similar, but you need to work through the whole meaning in case the reviewer is trying to be clever.
eg. one of then wrote something like "" I can't say if this is a good or bad film, . .  but I loved the young actress"". Clearly positive rather than negative, though maybe not much use . . ","Some of the text displayed very large - too big really, so I had to shrink it in the browser window using Ctrl+mouse-wheel.
I expect some other participants just sat back a few feet . . .",55 - 64,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,Yes,No,Yes,No problems encountered . . .,19528,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,13
